dataset,noise,detector,quality,seed,B,estimator,auc_global,auc_primary,delta_point,ci_low,ci_high,delta_ci_low,delta_ci_high,ci_entirely_above_chance,ci_entirely_below_chance,n_valid_bootstrap,n_failed_overlap,coverage_primary,coverage_bootstrap_mean,n_pairs_primary,n_pairs_bootstrap_mean,common_support_lo,common_support_hi,caliper_point,eligible_global_above_chance
cifar100,symmetric0.2,ema_loss,dino_density,8,1000,pipeline_primary_matching_rule,0.8035754744353433,0.8006460416028515,0.0029294328324918073,0.7857425038361291,0.8156722190281382,-0.0069331398325212425,0.012075286591021877,True,False,1000,0,0.7971765743906474,0.9873633333333334,35911,5910.173,0.06624553426311021,0.991588161481512,0.015538340768222247,True
cifar100,symmetric0.2,confidence,dino_density,8,1000,pipeline_primary_matching_rule,0.7368240506037683,0.7374620589791429,-0.0006380083753745325,0.720887355213948,0.7540508272215589,-0.007392098235165278,0.011772779168076774,True,False,1000,0,0.7971765743906474,0.9870825,35911,5908.127,0.06624553426311021,0.991588161481512,0.015538340768222247,True
cifar100,symmetric0.2,aum,dino_density,8,1000,pipeline_primary_matching_rule,0.7150748950188722,0.7423073710005291,-0.0272324759816569,0.7226599847391468,0.7567686309978489,-0.054165494789420746,-0.02672916012744964,True,False,1000,0,0.7971765743906474,0.9871158333333334,35911,5909.142,0.06624553426311021,0.991588161481512,0.015538340768222247,True
cifar100,symmetric0.2,neighbor,dino_density,8,1000,pipeline_primary_matching_rule,0.8257972539244554,0.8212943109353681,0.004502942989087266,0.8097882810267497,0.8400320330961566,-0.004303189296628225,0.008442779965769295,True,False,1000,0,0.7971765743906474,0.9874516666666667,35911,5910.527,0.06624553426311021,0.991588161481512,0.015538340768222247,True
cifar100,symmetric0.2,confident_learning,dino_density,8,1000,pipeline_primary_matching_rule,0.8114095878801384,0.8092367241235277,0.0021728637566107434,0.7907248582744427,0.8212986979460027,-0.012985193935755236,0.005431283142679833,True,False,1000,0,0.7971765743906474,0.9877266666666665,35911,5912.48,0.06624553426311021,0.991588161481512,0.015538340768222247,True
cifar100,symmetric0.2,combined,dino_density,9,1000,pipeline_primary_matching_rule,0.6920478721889515,0.681261992825162,0.010785879363789497,0.6684725780851426,0.7036836865399885,-0.0004076975771985337,0.021652549109206127,True,False,1000,0,0.8008188558149828,0.9917583333333333,35959,5940.634,0.047095482507751224,0.979413863314273,0.01579783566623953,True
cifar100,symmetric0.2,ema_loss,dino_density,9,1000,pipeline_primary_matching_rule,0.8060058320855883,0.8032759531688868,0.0027298789167015114,0.7907435549169441,0.820411280756601,-0.005225230478812196,0.013647983132987582,True,False,1000,0,0.8008188558149828,0.9918008333333332,35959,5940.667,0.047095482507751224,0.979413863314273,0.01579783566623953,True
cifar100,symmetric0.2,confidence,dino_density,9,1000,pipeline_primary_matching_rule,0.7401458243244856,0.7405378347562501,-0.0003920104317645112,0.7303704529450786,0.7638866887045854,-0.008376773130384032,0.011753720870011308,True,False,1000,0,0.8008188558149828,0.9917958333333333,35959,5940.385,0.047095482507751224,0.979413863314273,0.01579783566623953,True
cifar100,symmetric0.2,aum,dino_density,9,1000,pipeline_primary_matching_rule,0.7155895745590835,0.7429155427014099,-0.027325968142326462,0.7074017716637854,0.743790485252333,-0.04738905840954522,-0.02012997288160573,True,False,1000,0,0.8008188558149828,0.9915875,35959,5939.294,0.047095482507751224,0.979413863314273,0.01579783566623953,True
cifar100,symmetric0.2,neighbor,dino_density,9,1000,pipeline_primary_matching_rule,0.8178748739863891,0.8166940126254902,0.0011808613608988994,0.8044813785303163,0.8351567034183222,-0.00365229049414091,0.00965492744723663,True,False,1000,0,0.8008188558149828,0.9917525,35959,5940.217,0.047095482507751224,0.979413863314273,0.01579783566623953,True
cifar100,symmetric0.2,confident_learning,dino_density,9,1000,pipeline_primary_matching_rule,0.8117309676635766,0.8105064100781445,0.0012245575854320512,0.8060226001990283,0.8343231890260705,-0.009440628246368371,0.007741274835483805,True,False,1000,0,0.8008188558149828,0.9916575000000001,35959,5939.628,0.047095482507751224,0.979413863314273,0.01579783566623953,True
